Time,Average Power (mW)
05-10-2024 09:08:32,7631.4611872146115
05-10-2024 09:09:02,7604.6
05-10-2024 09:09:32,7613.16742081448
05-10-2024 09:10:02,7603.223744292238
05-10-2024 09:10:32,7617.245454545455
05-10-2024 09:11:02,7608.799086757991
05-10-2024 09:11:32,7603.93665158371
05-10-2024 09:12:02,7603.100917431193
05-10-2024 09:12:32,7604.45
05-10-2024 09:13:02,7613.316513761468
05-10-2024 09:13:32,7607.633027522936
05-10-2024 09:14:02,7603.586363636364
05-10-2024 09:14:32,7616.243119266055
05-10-2024 09:15:02,7614.324200913242
05-10-2024 09:15:32,7605.785388127854
05-10-2024 09:16:02,7607.131818181818
05-10-2024 09:16:32,7607.6866359447
05-10-2024 09:17:02,7614.882352941177
05-10-2024 09:17:32,7644.0
05-10-2024 09:18:02,7605.904545454546
05-10-2024 09:18:32,7604.98623853211
05-10-2024 09:19:02,7624.154545454546
05-10-2024 09:19:32,7629.279816513761
05-10-2024 09:20:02,7613.1
05-10-2024 09:20:32,7609.359090909091
